time,value
0.0,36.534718
0.127029,36.534718
0.254058,36.534718
0.381087,36.534718
0.508116,36.534718
0.635145,36.534718
0.762174,36.534718
0.889203,36.534718
1.016231,36.534718
1.14326,36.534718
1.270289,36.534718
1.397318,36.534718
1.524347,36.534718
1.651376,34.717716
1.778405,34.717716
1.905434,34.717716
2.032463,34.717716
2.159492,34.717716
2.286521,34.717716
2.41355,34.58793
2.540579,34.58793
2.667608,34.58793
2.794637,34.58793
2.921665,34.58793
3.048694,34.58793
3.175723,34.58793
3.302752,34.58793
3.429781,34.58793
3.55681,34.58793
3.683839,34.58793
3.810868,34.58793
3.937897,34.58793
4.064926,34.58793
4.191955,34.458144
4.318984,34.458144
4.446013,33.160286
4.573042,33.160286
4.700071,33.160286
4.8271,33.160286
4.954128,32.900714
5.081157,32.900714
5.208186,32.641142
5.335215,32.641142
5.462244,31.862427
5.589273,31.862427
5.716302,31.602855
5.843331,31.602855
5.97036,30.82414
6.097389,30.82414
6.224418,30.82414
6.351447,30.82414
6.478476,30.82414
6.605505,30.82414
6.732534,30.694354
6.859562,30.694354
10.289344,28.16353
10.416373,28.16353
10.543402,28.16353
10.67043,28.16353
10.797459,28.16353
10.924488,28.16353
11.051517,28.16353
11.178546,28.16353
11.305575,27.190136
11.432604,27.190136
11.559633,26.930565
11.686662,26.930565
11.813691,26.670993
11.94072,26.670993
12.067749,26.411421
12.194778,26.411421
12.321807,25.373134
12.448836,25.373134
12.575865,24.464633
12.702893,24.464633
12.829922,24.464633
12.956951,24.464633
13.08398,24.334848
13.211009,24.334848
13.338038,23.685918
13.465067,23.685918
13.592096,23.426347
13.719125,23.426347
13.846154,22.647631
13.973183,22.647631
14.100212,22.647631
14.227241,22.647631
14.35427,22.517846
14.481299,22.517846
14.608327,22.258274
14.735356,22.258274
14.862385,22.128488
14.989414,22.128488
15.116443,22.258274
15.243472,22.258274
15.370501,22.258274
15.49753,22.258274
15.624559,22.258274
15.751588,22.258274
15.878617,22.38806
16.005646,22.38806
16.132675,22.38806
16.259704,22.38806
16.386733,22.38806
16.513761,22.38806
16.64079,22.38806
16.767819,22.38806
16.894848,22.38806
17.021877,22.38806
17.148906,22.258274
17.275935,22.258274
17.402964,22.128488
17.529993,22.128488
17.657022,22.258274
17.784051,22.258274
17.91108,22.258274
18.038109,22.258274
18.165138,22.258274
18.292167,22.258274
18.419195,22.258274
18.546224,22.258274
19.689485,24.789098
19.816514,24.789098
19.943543,24.789098
20.070572,24.789098
20.197601,24.789098
20.324629,24.789098
20.451658,24.789098
20.578687,24.789098
20.705716,24.789098
20.832745,24.789098
20.959774,24.789098
21.086803,24.789098
21.213832,24.789098
21.340861,24.789098
21.46789,24.789098
21.594919,24.789098
21.721948,24.789098
21.848977,24.789098
21.976006,24.789098
22.103035,24.789098
22.230064,24.789098
22.357092,24.789098
22.484121,24.789098
22.61115,24.789098
22.738179,24.789098
22.865208,24.789098
22.992237,24.789098
23.119266,24.789098
23.246295,24.789098
23.373324,24.789098
23.500353,24.789098
23.627382,24.789098
23.754411,24.659312
23.88144,24.659312
24.008469,24.269955
24.135498,24.269955
24.262526,24.140169
24.389555,24.140169
24.516584,24.140169
24.643613,24.140169
24.770642,23.880597
24.897671,23.880597
25.0247,23.491239
25.151729,23.491239
25.278758,23.361454
25.405787,23.361454
25.532816,23.361454
25.659845,23.361454
25.786874,23.361454
25.913903,23.361454
26.040932,23.361454
26.16796,23.361454
26.294989,23.361454
26.422018,23.361454
26.549047,23.361454
26.676076,23.361454
26.803105,23.361454
26.930134,23.361454
27.057163,23.231668
27.184192,23.231668
27.311221,22.582738
27.43825,22.582738
27.565279,22.582738
27.692308,22.582738
27.819337,22.323167
27.946366,22.323167
28.073394,22.193381
28.200423,22.193381
28.327452,22.193381
28.454481,22.193381
28.58151,22.193381
28.708539,22.193381
28.835568,22.193381
28.962597,22.193381
29.089626,22.193381
29.216655,22.193381
29.343684,22.193381
29.470713,22.193381
29.597742,22.193381
29.724771,22.193381
29.8518,22.193381
29.978829,22.193381
30.105857,22.193381
30.232886,22.193381
30.359915,21.674238
30.486944,21.674238
30.613973,21.414666
30.741002,21.414666
30.868031,21.414666
30.99506,21.414666
31.122089,20.895522
31.249118,20.895522
31.376147,20.635951
31.503176,20.635951
36.203246,17.975341
36.330275,17.975341
36.457304,17.975341
36.584333,17.975341
36.711362,17.975341
36.838391,17.975341
36.96542,17.975341
37.092449,17.975341
37.219478,17.910448
37.346507,17.910448
37.473536,17.910448
37.600565,17.910448
37.727594,17.910448
37.854622,17.910448
37.981651,17.910448
38.10868,17.910448
38.235709,17.650876
38.362738,17.650876
38.489767,17.261518
38.616796,17.261518
38.743825,17.131733
38.870854,17.131733
38.997883,17.131733
39.124912,17.131733
39.251941,17.131733
39.37897,17.131733
39.505999,17.131733
39.633028,17.131733
39.760056,17.131733
39.887085,17.131733
40.014114,17.131733
40.141143,17.131733
40.268172,17.131733
40.395201,17.131733
40.52223,17.131733
40.649259,17.131733
40.776288,17.131733
40.903317,17.131733
41.030346,17.131733
41.157375,17.131733
41.284404,17.131733
41.411433,17.131733
41.538462,17.131733
41.66549,17.131733
41.792519,17.131733
41.919548,17.131733
42.046577,17.131733
42.173606,17.131733
42.300635,17.131733
42.427664,17.131733
42.554693,16.742375
42.681722,16.742375
42.808751,16.742375
42.93578,16.742375
43.062809,16.353018
43.189838,16.353018
43.316867,15.96366
43.443896,15.96366
43.570924,15.96366
43.697953,15.96366
43.824982,15.96366
43.952011,15.96366
44.07904,15.96366
44.206069,15.96366
44.333098,15.96366
44.460127,15.96366
44.587156,15.96366
44.714185,15.96366
44.841214,15.96366
44.968243,15.96366
45.095272,15.96366
45.222301,15.96366
45.34933,15.96366
45.476359,15.96366
45.603387,15.96366
45.730416,15.96366
45.857445,15.96366
45.984474,15.96366
46.111503,15.96366
46.238532,15.96366
46.365561,15.96366
46.49259,15.96366
46.619619,15.96366
46.746648,15.96366
46.873677,15.96366
47.000706,15.96366
47.127735,15.96366
47.254764,15.96366
47.381793,15.96366
47.508821,15.96366
47.63585,15.96366
47.762879,15.96366
47.889908,15.96366
48.016937,15.96366
48.143966,15.96366
48.270995,15.96366
48.398024,15.96366
48.525053,15.96366
48.652082,15.96366
48.779111,15.96366
48.90614,15.96366
49.033169,15.96366
49.160198,15.96366
49.287227,15.96366
