time,uterus
0.0,94.863459
0.127029,94.863459
0.254058,94.863459
0.381087,94.863459
0.508116,94.79844
1.016231,8.127438
1.14326,8.127438
1.270289,8.127438
1.397318,8.127438
1.524347,8.127438
1.651376,8.127438
1.778405,8.127438
1.905434,8.127438
2.032463,7.86736
2.159492,7.86736
2.286521,7.86736
2.41355,7.86736
2.540579,7.86736
2.667608,7.86736
2.794637,7.86736
2.921665,7.86736
3.048694,7.86736
3.175723,7.86736
3.302752,7.86736
3.429781,7.86736
3.55681,7.86736
3.683839,7.86736
3.810868,7.477243
3.937897,7.477243
4.064926,7.477243
4.191955,7.477243
4.318984,6.957087
4.446013,6.957087
4.573042,6.697009
4.700071,6.697009
4.8271,6.697009
4.954128,6.697009
5.081157,6.436931
5.208186,6.436931
5.335215,6.111834
5.462244,6.046814
5.589273,5.981795
5.716302,5.916775
5.843331,5.851756
5.97036,5.786736
6.097389,5.721717
6.224418,5.656697
6.351447,5.656697
6.478476,5.656697
6.605505,5.656697
6.732534,5.656697
6.859562,5.591678
6.986591,5.526658
7.11362,5.331599
7.240649,5.26658
7.367678,4.941482
7.494707,4.876463
7.621736,4.551365
7.748765,4.486346
7.875794,4.161248
8.002823,4.161248
8.129852,3.90117
8.256881,3.90117
8.38391,3.771131
8.510939,3.771131
8.637968,3.641092
8.764996,3.641092
8.892025,3.446034
9.019054,2.990897
9.146083,2.925878
9.273112,2.860858
9.400141,2.795839
9.52717,2.60078
9.654199,2.60078
9.781228,2.60078
9.908257,2.60078
10.035286,2.60078
10.162315,2.60078
10.289344,2.60078
10.416373,2.60078
10.543402,2.60078
10.67043,2.535761
11.94072,2.6658
12.067749,2.730819
12.194778,3.185956
12.321807,3.250975
12.448836,3.446034
12.575865,3.511053
12.702893,3.836151
12.829922,3.836151
12.956951,4.096229
13.08398,4.096229
13.211009,4.486346
13.338038,4.486346
13.465067,4.486346
13.592096,4.486346
13.719125,4.486346
13.846154,4.486346
13.973183,4.486346
14.100212,4.486346
14.227241,4.486346
14.35427,4.486346
14.481299,4.486346
14.608327,4.486346
14.735356,4.486346
14.862385,4.486346
14.989414,4.486346
15.116443,4.486346
15.243472,4.486346
15.370501,4.486346
15.49753,4.421326
15.624559,4.356307
15.751588,4.356307
15.878617,4.356307
16.005646,4.356307
16.132675,4.356307
16.259704,4.356307
16.386733,4.356307
16.513761,3.771131
16.64079,3.706112
16.767819,3.706112
16.894848,3.706112
17.021877,3.706112
17.148906,3.706112
17.275935,3.641092
17.402964,3.576073
17.657022,2.860858
17.784051,2.860858
17.91108,2.795839
22.357092,2.535761
22.484121,2.535761
22.61115,3.185956
22.738179,3.185956
22.865208,3.836151
